Case_ID,Model_Name,Model_Family,Strategy,Duration_Sec,Status,Reasoning_Trace,Generated_JSON,Raw_Output
Back Pain,Qwen-1.5B,Qwen,standard,0.0,JSON_Parse_Fail,Error: Missing API Key for deepinfra,,Error: Missing API Key for deepinfra
Back Pain,Qwen-1.5B,Qwen,few_shot,0.0,JSON_Parse_Fail,Error: Missing API Key for deepinfra,,Error: Missing API Key for deepinfra
Back Pain,Qwen-1.5B,Qwen,cot,0.0,JSON_Parse_Fail,Error: Missing API Key for deepinfra,,Error: Missing API Key for deepinfra
Back Pain,Qwen-7B,Qwen,standard,0.0,JSON_Parse_Fail,Error: Missing API Key for deepinfra,,Error: Missing API Key for deepinfra
Back Pain,Qwen-7B,Qwen,few_shot,0.0,JSON_Parse_Fail,Error: Missing API Key for deepinfra,,Error: Missing API Key for deepinfra
Back Pain,Qwen-7B,Qwen,cot,0.0,JSON_Parse_Fail,Error: Missing API Key for deepinfra,,Error: Missing API Key for deepinfra
Back Pain,Qwen-14B,Qwen,standard,0.0,JSON_Parse_Fail,Error: Missing API Key for deepinfra,,Error: Missing API Key for deepinfra
Back Pain,Qwen-14B,Qwen,few_shot,0.0,JSON_Parse_Fail,Error: Missing API Key for deepinfra,,Error: Missing API Key for deepinfra
Back Pain,Qwen-14B,Qwen,cot,0.0,JSON_Parse_Fail,Error: Missing API Key for deepinfra,,Error: Missing API Key for deepinfra
Back Pain,Qwen-72B,Qwen,standard,0.0,JSON_Parse_Fail,Error: Missing API Key for deepinfra,,Error: Missing API Key for deepinfra
Back Pain,Qwen-72B,Qwen,few_shot,0.0,JSON_Parse_Fail,Error: Missing API Key for deepinfra,,Error: Missing API Key for deepinfra
Back Pain,Qwen-72B,Qwen,cot,0.0,JSON_Parse_Fail,Error: Missing API Key for deepinfra,,Error: Missing API Key for deepinfra
Back Pain,QwQ-32B,Qwen,standard,0.0,JSON_Parse_Fail,Error: Missing API Key for deepinfra,,Error: Missing API Key for deepinfra
Back Pain,QwQ-32B,Qwen,few_shot,0.0,JSON_Parse_Fail,Error: Missing API Key for deepinfra,,Error: Missing API Key for deepinfra
Back Pain,QwQ-32B,Qwen,cot,0.0,JSON_Parse_Fail,Error: Missing API Key for deepinfra,,Error: Missing API Key for deepinfra
Back Pain,DeepSeek-7B-Math,DeepSeek,standard,0.0,JSON_Parse_Fail,Error: Missing API Key for deepinfra,,Error: Missing API Key for deepinfra
Back Pain,DeepSeek-7B-Math,DeepSeek,few_shot,0.0,JSON_Parse_Fail,Error: Missing API Key for deepinfra,,Error: Missing API Key for deepinfra
Back Pain,DeepSeek-7B-Math,DeepSeek,cot,0.0,JSON_Parse_Fail,Error: Missing API Key for deepinfra,,Error: Missing API Key for deepinfra
Back Pain,DeepSeek-V2-Lite-Coder,DeepSeek,standard,0.0,JSON_Parse_Fail,Error: Missing API Key for deepinfra,,Error: Missing API Key for deepinfra
Back Pain,DeepSeek-V2-Lite-Coder,DeepSeek,few_shot,0.0,JSON_Parse_Fail,Error: Missing API Key for deepinfra,,Error: Missing API Key for deepinfra
Back Pain,DeepSeek-V2-Lite-Coder,DeepSeek,cot,0.0,JSON_Parse_Fail,Error: Missing API Key for deepinfra,,Error: Missing API Key for deepinfra
