Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,32.0,12.5,71.43,100.0,11.11
Skin Lesion,44.0,50.0,50.0,0.0,42.86
Constipation,48.15,66.67,25.0,0.0,50.0
Eye Infection,36.0,27.27,25.0,100.0,44.44
Sore Throat,33.33,33.33,35.71,100.0,22.22
Fatique,27.78,21.05,44.44,0.0,50.0
Dizziness,43.33,52.94,33.33,100.0,16.67
Migraine,35.71,36.36,30.0,50.0,37.5
Back Pain,14.63,12.5,10.0,0.0,25.0
Burnout,27.5,18.75,44.44,20.0,30.0
Average,34.242999999999995,33.137,36.935,47.0,32.980000000000004
