Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,66.67,47.06,100.0,33.33,100.0
Dizziness,57.14,61.9,44.44,50.0,66.67
Eye Infection,46.15,35.29,33.33,33.33,80.0
Fatigue,55.81,70.0,83.33,16.67,36.36
Constipation,65.79,72.73,40.0,60.0,83.33
Sore Throat,82.05,84.62,83.33,66.67,81.82
Migraine,68.09,56.0,100.0,66.67,70.0
Burnout,58.82,54.55,77.78,25.0,75.0
Skin Lesion,48.0,30.0,66.67,80.0,83.33
Back Pain,61.22,59.09,44.44,100.0,66.67
Average,60.974000000000004,57.12400000000001,67.332,53.166999999999994,74.31800000000001
