Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Sore Throat,80.0,66.67,87.5,66.67,90.0
Constipation,51.52,53.33,37.5,33.33,71.43
Earache,75.0,53.33,100.0,33.33,100.0
Burnout,57.89,52.94,85.71,33.33,54.55
Skin Lesion,65.62,45.45,71.43,80.0,77.78
Dizziness,68.57,80.95,55.56,50.0,33.33
Migraine,81.08,68.42,87.5,100.0,100.0
Back Pain,65.71,76.92,42.86,100.0,58.33
Fatigue,51.16,52.94,63.64,50.0,28.57
Eye Infection,42.22,38.46,42.86,33.33,55.56
Average,63.876999999999995,58.94100000000001,67.45599999999999,57.999,66.95500000000001
