Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,69.23,60.0,75.0,33.33,100.0
Skin Lesion,61.76,63.64,62.5,100.0,40.0
Sore Throat,78.38,77.78,86.67,50.0,72.73
Eye Infection,45.71,42.86,42.86,0.0,70.0
Back Pain,91.43,84.62,100.0,100.0,91.67
Fatigue,63.16,64.71,77.78,50.0,50.0
Burnout,72.97,62.5,88.89,33.33,88.89
Constipation,70.59,53.85,57.14,100.0,91.67
Dizziness,62.16,70.59,54.55,66.67,50.0
Migraine,82.5,75.0,100.0,66.67,88.89
Average,69.789,65.55499999999999,74.53899999999999,59.999999999999986,74.385
