Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,88.0,76.92,100.0,100.0,100.0
Dizziness,96.55,100.0,100.0,100.0,80.0
Earache,93.75,92.86,100.0,80.0,100.0
Migraine,96.97,94.12,100.0,100.0,100.0
Skin Lesion,72.97,76.92,62.5,100.0,63.64
Eye Infection,89.19,88.89,75.0,100.0,100.0
Fatigue,89.74,94.44,88.89,83.33,83.33
Sore Throat,100.0,100.0,100.0,100.0,100.0
Burnout,100.0,100.0,100.0,100.0,100.0
Back Pain,100.0,100.0,100.0,100.0,100.0
Average,92.717,92.415,92.639,96.333,92.697
