Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Eye Infection,86.21,78.57,85.71,100.0,100.0
Earache,96.0,91.67,100.0,100.0,100.0
Dizziness,93.1,88.24,100.0,100.0,100.0
Constipation,80.0,81.82,66.67,50.0,100.0
Skin Lesion,80.65,75.0,83.33,100.0,85.71
Migraine,93.75,88.89,100.0,100.0,100.0
Burnout,94.29,92.31,100.0,75.0,100.0
Fatigue,66.67,71.43,66.67,62.5,62.5
Back Pain,86.84,77.78,83.33,100.0,100.0
Sore Throat,94.59,90.91,100.0,100.0,90.0
Average,87.21000000000001,83.662,88.571,88.75,93.821
