Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Eye Infection,28.0,9.09,50.0,100.0,33.33
Earache,68.0,75.0,71.43,100.0,55.56
Dizziness,46.67,47.06,50.0,100.0,33.33
Constipation,81.48,83.33,75.0,66.67,87.5
Skin Lesion,48.0,60.0,66.67,0.0,28.57
Migraine,57.14,40.91,90.0,50.0,62.5
Burnout,35.0,25.0,77.78,20.0,20.0
Fatigue,25.0,21.05,33.33,0.0,50.0
Back Pain,39.02,37.5,10.0,100.0,50.0
Sore Throat,88.89,91.67,92.86,100.0,77.78
Average,51.71999999999999,49.06099999999999,61.70700000000001,63.66700000000001,49.85699999999999
