Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,87.1,85.71,100.0,60.0,100.0
Sore Throat,96.55,91.67,100.0,100.0,100.0
Dizziness,83.33,81.25,100.0,100.0,60.0
Constipation,74.36,75.0,71.43,40.0,100.0
Migraine,73.81,52.38,100.0,75.0,100.0
Back Pain,65.12,72.22,16.67,100.0,100.0
Eye Infection,78.0,63.64,70.0,100.0,100.0
Fatigue,70.21,64.29,100.0,33.33,75.0
Skin Lesion,68.75,71.43,41.67,100.0,81.82
Burnout,83.67,80.0,100.0,50.0,100.0
Average,78.09,73.75899999999999,79.977,75.833,91.68199999999999
