Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,76.0,87.5,85.71,100.0,55.56
Constipation,74.07,66.67,50.0,66.67,100.0
Eye Infection,68.0,72.73,75.0,100.0,55.56
Dizziness,56.67,64.71,50.0,100.0,33.33
Fatigue,47.22,57.89,33.33,25.0,50.0
Sore Throat,72.22,83.33,64.29,100.0,66.67
Skin Lesion,52.0,70.0,66.67,0.0,28.57
Burnout,42.5,25.0,77.78,40.0,40.0
Migraine,71.43,59.09,90.0,100.0,75.0
Back Pain,58.54,56.25,30.0,66.67,83.33
Average,61.864999999999995,64.31700000000001,62.278,69.834,58.802
