Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Fatigue,73.91,72.73,85.71,66.67,50.0
Eye Infection,65.38,50.0,75.0,66.67,77.78
Constipation,73.33,81.82,28.57,100.0,90.0
Dizziness,62.5,78.57,50.0,66.67,40.0
Earache,70.0,63.64,70.0,50.0,100.0
Back Pain,71.43,53.33,83.33,100.0,81.82
Burnout,69.23,52.94,88.89,33.33,90.0
Sore Throat,97.3,100.0,93.33,100.0,100.0
Migraine,76.92,66.67,90.0,50.0,88.89
Skin Lesion,67.44,62.5,75.0,80.0,60.0
Average,72.744,68.22,73.98299999999999,71.33399999999999,77.84899999999999
