Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,90.62,85.71,100.0,80.0,100.0
Sore Throat,85.29,83.33,81.82,100.0,87.5
Eye Infection,80.0,68.18,100.0,75.0,100.0
Dizziness,85.29,84.21,83.33,100.0,83.33
Constipation,83.33,87.5,72.73,50.0,100.0
Skin Lesion,86.05,76.47,92.86,100.0,87.5
Migraine,94.44,93.75,100.0,50.0,100.0
Fatigue,84.09,85.71,57.14,83.33,100.0
Burnout,92.68,95.24,100.0,60.0,100.0
Back Pain,80.49,71.43,77.78,100.0,100.0
Average,86.228,83.15299999999999,86.566,79.833,95.833
