Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,76.0,75.0,71.43,100.0,77.78
Burnout,45.0,25.0,77.78,20.0,60.0
Eye Infection,64.0,54.55,50.0,100.0,77.78
Constipation,88.89,83.33,75.0,100.0,100.0
Sore Throat,66.67,50.0,64.29,100.0,88.89
Migraine,64.29,45.45,90.0,50.0,87.5
Dizziness,70.0,70.59,66.67,100.0,66.67
Skin Lesion,60.0,60.0,83.33,50.0,42.86
Fatigue,58.33,73.68,55.56,0.0,50.0
Back Pain,70.73,62.5,70.0,100.0,75.0
Average,66.391,60.010000000000005,70.40599999999999,72.0,72.648
