Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,69.23,88.89,14.29,66.67,100.0
Earache,70.0,54.55,71.43,33.33,100.0
Back Pain,48.39,63.64,25.0,75.0,37.5
Skin Lesion,64.71,69.23,66.67,60.0,57.14
Dizziness,55.56,56.25,71.43,50.0,45.45
Eye Infection,51.43,46.67,44.44,66.67,62.5
Sore Throat,94.29,100.0,92.31,100.0,90.0
Fatigue,62.86,76.47,100.0,25.0,25.0
Migraine,64.86,50.0,77.78,50.0,87.5
Burnout,55.0,42.86,85.71,20.0,85.71
Average,63.633,64.85600000000001,64.906,54.66700000000001,69.08
