Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,71.43,70.0,70.0,33.33,100.0
Eye Infection,66.67,80.0,50.0,25.0,76.92
Burnout,75.0,75.0,85.71,33.33,80.0
Sore Throat,80.0,87.5,81.82,66.67,76.92
Constipation,80.0,64.71,100.0,100.0,91.67
Migraine,80.56,70.59,100.0,50.0,88.89
Back Pain,86.49,84.62,100.0,100.0,78.57
Skin Lesion,50.0,40.0,66.67,75.0,41.67
Dizziness,58.97,72.22,25.0,80.0,75.0
Fatigue,55.1,65.22,70.0,40.0,27.27
Average,70.42200000000001,70.98600000000002,74.92,60.33299999999999,73.691
