Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,93.1,90.91,85.71,100.0,100.0
Constipation,81.48,81.82,85.71,33.33,100.0
Dizziness,84.38,87.5,100.0,50.0,71.43
Fatigue,85.71,82.35,100.0,100.0,75.0
Skin Lesion,76.47,84.62,55.56,100.0,71.43
Eye Infection,82.86,80.0,88.89,66.67,87.5
Sore Throat,94.12,90.91,100.0,100.0,90.0
Migraine,86.49,72.22,100.0,100.0,100.0
Burnout,87.5,81.82,100.0,75.0,100.0
Back Pain,69.7,69.23,37.5,75.0,100.0
Average,84.181,82.13799999999999,85.33699999999999,80.0,89.536
