Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,68.0,75.0,57.14,100.0,66.67
Sore Throat,55.56,75.0,42.86,100.0,44.44
Dizziness,46.67,47.06,50.0,100.0,33.33
Constipation,74.07,75.0,50.0,100.0,75.0
Migraine,66.67,50.0,80.0,100.0,87.5
Back Pain,51.22,68.75,20.0,66.67,50.0
Eye Infection,52.0,36.36,75.0,100.0,55.56
Fatigue,50.0,57.89,44.44,25.0,50.0
Skin Lesion,60.0,50.0,100.0,0.0,57.14
Burnout,47.5,25.0,66.67,40.0,70.0
Average,57.169000000000004,56.00599999999999,58.611000000000004,73.167,58.964
