Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,96.43,91.67,100.0,100.0,100.0
Sore Throat,100.0,100.0,100.0,100.0,100.0
Dizziness,93.94,94.44,100.0,100.0,75.0
Constipation,84.85,88.24,100.0,100.0,70.0
Skin Lesion,81.58,78.57,66.67,100.0,90.0
Eye Infection,87.5,89.47,71.43,100.0,90.91
Migraine,94.87,89.47,100.0,100.0,100.0
Fatigue,82.93,85.71,87.5,60.0,85.71
Burnout,94.59,100.0,90.0,50.0,100.0
Back Pain,97.73,93.33,100.0,100.0,100.0
Average,91.44200000000001,91.09,91.56,91.0,91.162
