Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,80.0,88.89,42.86,100.0,100.0
Earache,67.74,50.0,100.0,25.0,100.0
Skin Lesion,53.12,38.46,50.0,66.67,80.0
Back Pain,69.7,78.57,44.44,100.0,71.43
Eye Infection,60.0,45.45,62.5,100.0,66.67
Dizziness,62.5,72.22,66.67,33.33,40.0
Migraine,78.95,72.22,87.5,66.67,88.89
Sore Throat,64.52,66.67,77.78,25.0,66.67
Fatigue,56.76,55.56,70.0,25.0,60.0
Burnout,72.97,66.67,85.71,33.33,88.89
Average,66.626,63.47099999999999,68.74600000000001,57.500000000000014,76.25500000000001
