Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,71.43,66.67,85.71,33.33,83.33
Constipation,68.75,56.25,100.0,100.0,70.0
Sore Throat,81.25,87.5,78.57,50.0,87.5
Migraine,79.49,63.16,100.0,50.0,100.0
Fatigue,60.98,61.9,87.5,40.0,42.86
Dizziness,60.61,66.67,50.0,66.67,50.0
Skin Lesion,52.63,50.0,77.78,60.0,30.0
Eye Infection,51.22,42.11,50.0,66.67,63.64
Back Pain,77.27,86.67,75.0,100.0,66.67
Burnout,71.74,75.0,80.0,50.0,66.67
Average,67.537,65.59299999999999,78.45599999999999,61.666999999999994,66.06699999999998
