Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,90.48,92.31,66.67,100.0,100.0
Sore Throat,96.3,100.0,87.5,100.0,100.0
Fatigue,100.0,100.0,100.0,100.0,100.0
Eye Infection,82.76,81.25,60.0,100.0,100.0
Skin Lesion,88.89,100.0,57.14,100.0,100.0
Earache,100.0,100.0,100.0,100.0,100.0
Dizziness,100.0,100.0,100.0,100.0,100.0
Back Pain,88.89,83.33,80.0,100.0,100.0
Burnout,93.55,94.12,85.71,100.0,100.0
Migraine,92.5,95.0,100.0,50.0,100.0
Average,93.33699999999999,94.601,83.702,95.0,100.0
