Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Eye Infection,86.36,88.89,66.67,100.0,100.0
Dizziness,95.83,100.0,100.0,100.0,80.0
Earache,100.0,100.0,100.0,100.0,100.0
Constipation,86.67,87.5,66.67,100.0,100.0
Fatigue,91.18,94.44,77.78,100.0,100.0
Skin Lesion,71.43,53.33,66.67,83.33,100.0
Back Pain,75.0,71.43,44.44,100.0,100.0
Sore Throat,77.27,63.16,85.71,75.0,100.0
Burnout,89.19,83.33,100.0,66.67,100.0
Migraine,81.13,95.45,53.85,72.73,100.0
Average,85.406,83.75300000000001,76.179,89.773,98.0
