Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Skin Lesion,44.0,50.0,50.0,0.0,42.86
Dizziness,60.0,64.71,50.0,100.0,50.0
Sore Throat,50.0,41.67,57.14,100.0,44.44
Constipation,51.85,66.67,25.0,0.0,62.5
Earache,56.0,75.0,71.43,100.0,22.22
Eye Infection,32.0,18.18,0.0,100.0,55.56
Back Pain,29.27,37.5,10.0,66.67,25.0
Fatigue,52.78,52.63,66.67,0.0,75.0
Migraine,61.9,68.18,70.0,50.0,37.5
Burnout,57.5,56.25,44.44,20.0,90.0
Average,49.529999999999994,53.07899999999999,44.468,53.66700000000001,50.508
