Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,84.62,90.91,40.0,100.0,100.0
Eye Infection,75.0,50.0,60.0,100.0,100.0
Earache,95.45,100.0,100.0,66.67,100.0
Dizziness,85.71,80.0,100.0,100.0,80.0
Skin Lesion,86.11,84.21,83.33,75.0,100.0
Sore Throat,100.0,100.0,100.0,100.0,100.0
Back Pain,86.21,86.67,66.67,100.0,100.0
Migraine,90.62,80.0,100.0,100.0,100.0
Burnout,91.43,88.89,100.0,66.67,100.0
Fatigue,84.78,78.57,100.0,75.0,100.0
Average,87.99300000000001,83.925,85.0,88.334,98.0
