Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Eye Infection,72.73,55.56,66.67,100.0,100.0
Dizziness,58.33,54.55,66.67,100.0,40.0
Constipation,60.0,56.25,66.67,50.0,66.67
Earache,66.67,53.85,100.0,20.0,100.0
Back Pain,52.78,57.14,33.33,100.0,50.0
Fatigue,55.88,66.67,66.67,0.0,25.0
Skin Lesion,45.71,33.33,66.67,50.0,50.0
Sore Throat,65.91,47.37,85.71,50.0,85.71
Burnout,70.27,61.11,100.0,33.33,77.78
Migraine,50.94,59.09,38.46,18.18,100.0
Average,59.922000000000004,54.492,69.08500000000001,52.150999999999996,69.51599999999999
