Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,59.26,66.67,50.0,0.0,75.0
Earache,56.0,75.0,57.14,0.0,44.44
Eye Infection,32.0,27.27,25.0,100.0,33.33
Dizziness,43.33,29.41,50.0,100.0,66.67
Skin Lesion,32.0,40.0,50.0,0.0,14.29
Migraine,64.29,45.45,80.0,100.0,87.5
Burnout,42.5,37.5,55.56,20.0,50.0
Fatigue,30.56,21.05,33.33,0.0,100.0
Sore Throat,63.89,58.33,64.29,100.0,66.67
Back Pain,34.15,56.25,0.0,0.0,41.67
Average,45.797999999999995,45.693,46.532,42.0,57.956999999999994
